0, 1503,4988.000000,49.880001, 1.870272C,1.817349P 
1, 1503,4988.000000,49.880001, 1.870272C,1.817349P 
6, 1503,4989.000000,49.889999, 1.870647C,1.817713P 
6, 1504,5075.000000,50.750000, 1.902893C,1.849046P 
9, 1503,4989.000000,49.889999, 1.870647C,1.817713P 
10, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
11, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
11, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
13, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
13, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
13, 1503,4990.000000,49.900002, 1.871023C,1.818078P 
