
Pre-schedule statistics


Total nodes: 22463

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;541
NodeAdd;{HWOffsetFix:11, 0, TWOSCOMPLEMENT};0;418
NodeAdd;{HWOffsetFix:27, -26, UNSIGNED};0;209
NodeAdd;{HWOffsetFix:28, -26, UNSIGNED};0;209
NodeAdd;{HWOffsetFix:36, -26, TWOSCOMPLEMENT};0;44
NodeAdd;{HWOffsetFix:51, -50, UNSIGNED};0;209
NodeAdd;{HWOffsetFix:52, -50, UNSIGNED};0;209
NodeAdd;{HWOffsetFix:54, -52, TWOSCOMPLEMENT};0;44
NodeAdd;{HWOffsetFix:56, -60, TWOSCOMPLEMENT};0;44
NodeAdd;{HWOffsetFix:56, -68, TWOSCOMPLEMENT};0;44
NodeAdd;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;44
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;836
NodeCast;{HWFloat:8, 24};0;44
NodeCast;{HWOffsetFix:10, -12, UNSIGNED};0;209
NodeCast;{HWOffsetFix:10, 0, TWOSCOMPLEMENT};0;209
NodeCast;{HWOffsetFix:11, 0, TWOSCOMPLEMENT};0;209
NodeCast;{HWOffsetFix:14, -26, UNSIGNED};0;418
NodeCast;{HWOffsetFix:2, -2, UNSIGNED};0;209
NodeCast;{HWOffsetFix:23, -23, UNSIGNED};0;209
NodeCast;{HWOffsetFix:24, -23, UNSIGNED};0;209
NodeCast;{HWOffsetFix:27, -26, UNSIGNED};0;209
NodeCast;{HWOffsetFix:28, -26, TWOSCOMPLEMENT} with doubt info;0;44
NodeCast;{HWOffsetFix:28, -26, TWOSCOMPLEMENT};0;44
NodeCast;{HWOffsetFix:28, -26, UNSIGNED};0;209
NodeCast;{HWOffsetFix:28, -33, TWOSCOMPLEMENT};0;44
NodeCast;{HWOffsetFix:28, -41, TWOSCOMPLEMENT};0;44
NodeCast;{HWOffsetFix:36, -26, TWOSCOMPLEMENT} with doubt info;0;209
NodeCast;{HWOffsetFix:8, 0, TWOSCOMPLEMENT};0;209
NodeCat;{HWRawBits:2};0;209
NodeCat;{HWRawBits:32};0;540
NodeCat;{HWRawBits:9};0;462
NodeConstantDouble;HWUntypedConst;0;2096
